epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,526.402,0.53697,0.76873,0.96733,0.79186,0.7599,0.81536,0.61599,0.89749,0.93623,1.31282,0.000114375,0.000114375,0.000114375
27,1039.97,0.52988,0.74504,0.96363,0.80668,0.73818,0.81268,0.61076,0.8909,0.94969,1.30126,0.00010695,0.00010695,0.00010695
28,1550.63,0.52991,0.72762,0.96343,0.81365,0.7436,0.81144,0.61184,0.89575,0.94766,1.3054,9.9525e-05,9.9525e-05,9.9525e-05
29,2062.68,0.51899,0.70824,0.95816,0.80108,0.74943,0.81389,0.61358,0.89094,0.9501,1.31101,9.21e-05,9.21e-05,9.21e-05
30,2572.91,0.51689,0.68648,0.9575,0.81285,0.75171,0.81527,0.61934,0.88339,0.93787,1.30262,8.4675e-05,8.4675e-05,8.4675e-05
31,3086.21,0.4822,0.5319,0.93572,0.8152,0.74911,0.81989,0.62418,0.88517,0.92455,1.29845,7.725e-05,7.725e-05,7.725e-05
32,3596.05,0.47374,0.50738,0.93063,0.81938,0.75177,0.8236,0.6249,0.88572,0.92154,1.29808,6.9825e-05,6.9825e-05,6.9825e-05
33,4105.11,0.46884,0.49198,0.92694,0.80402,0.76794,0.82798,0.62976,0.88479,0.91211,1.29809,6.24e-05,6.24e-05,6.24e-05
34,4615.01,0.46186,0.47548,0.92419,0.80728,0.76457,0.82383,0.62457,0.89002,0.92151,1.30166,5.4975e-05,5.4975e-05,5.4975e-05
35,5122.35,0.45617,0.45846,0.92315,0.80533,0.76423,0.8244,0.6246,0.88666,0.92597,1.3018,4.755e-05,4.755e-05,4.755e-05
36,5631.01,0.45089,0.44916,0.91899,0.8212,0.74779,0.82422,0.62342,0.88837,0.93137,1.30655,4.0125e-05,4.0125e-05,4.0125e-05
37,6140.35,0.44496,0.43356,0.91571,0.79955,0.76781,0.82445,0.62546,0.88815,0.92914,1.30829,3.27e-05,3.27e-05,3.27e-05
38,6656.01,0.44168,0.42214,0.91389,0.8094,0.76359,0.82469,0.62621,0.88717,0.92687,1.30744,2.5275e-05,2.5275e-05,2.5275e-05
39,7169.54,0.43703,0.41335,0.91191,0.80388,0.77062,0.82634,0.62627,0.8873,0.9261,1.30811,1.785e-05,1.785e-05,1.785e-05
40,7683.28,0.4317,0.40358,0.90917,0.80798,0.76373,0.82447,0.62541,0.88851,0.92849,1.31123,1.0425e-05,1.0425e-05,1.0425e-05
